a,b,c
13007482903715193632,8376532616111004191,11310989710003074847
9490315344104036880,6230926117155342299,627241890311554834
8177350042993527446,8454687510580316445,13632611845624028507
7891813378365610478,10280541559396690872,266908062874667498
5324483092103874362,11447257388606964668,8435039819783440162
4676027229399845726,16735024494772629431,8114620049406294573
11071702800602671778,8075343494941020300,6595926047473610635
13626972214427783920,2422663760326410351,3869662646966186556
3262481853319587299,7634480197123375755,10689491186658091076
9785933199358106463,18090721287685960401,16104641172520870265
